gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.7,77.0,195.0,1.0,0.8273547562635248,12.0,11.0,0.7044345683544896,0.587122288980939,1.0,0.0,1.0,1.0
-0.7,77.0,196.0,1.0,0.379624835791295,8.0,10.0,0.38993878238124946,0.4356517945110403,1.0,0.0,1.0,4.0
-0.7,77.0,197.0,1.0,0.12136004636956932,3.0,6.0,0.16025228136355046,0.3193828954564618,1.0,0.0,0.0,4.0
-0.7,77.0,198.0,1.0,0.6404320279607658,11.0,8.0,0.6087683527771318,0.49637261736698274,5.0,0.0,1.0,3.0
-0.7,77.0,199.0,1.0,0.1918060516375225,11.0,9.0,0.6668786610317075,0.5541087943970494,1.0,0.0,2.0,1.0
-0.7,78.0,0.0,1.0,0.492286249457901,1.0,8.0,0.0679489171880861,0.44374138102988026,0.0,2.0,0.0,5.0
-0.7,78.0,1.0,0.0,0.9830129383784051,11.0,8.0,0.533144246018106,0.5872145042466219,6.0,0.0,1.0,4.0
-0.7,78.0,2.0,0.0,0.602769998770704,5.0,5.0,0.22986854156847122,0.24023417886087592,0.0,0.0,1.0,1.0
-0.7,78.0,3.0,1.0,0.9705437628036969,15.0,11.0,0.9458015433825299,0.8155033201545682,5.0,0.0,1.0,2.0
-0.7,78.0,4.0,0.0,0.7532658186260172,10.0,8.0,0.5600585045336237,0.595440598634854,4.0,0.0,1.0,3.0
-0.7,78.0,5.0,1.0,0.8558066164427123,12.0,9.0,0.6746889652510933,0.5392949560249097,3.0,0.0,2.0,2.0
-0.7,78.0,6.0,0.0,0.7323586819638104,9.0,6.0,0.4987842391414522,0.4091810085829803,2.0,0.0,1.0,0.0
-0.7,78.0,7.0,0.0,0.31226362317819434,2.0,5.0,0.09553828294789894,0.26433383503921876,1.0,1.0,0.0,3.0
-0.7,78.0,8.0,0.0,0.8232825309451135,12.0,13.0,0.65022107306269,0.9145076760576727,1.0,0.0,0.0,2.0
-0.7,78.0,9.0,1.0,0.09870868462740079,4.0,6.0,0.27024532867771006,0.44671959949942763,3.0,3.0,0.0,2.0
-0.7,78.0,10.0,1.0,0.7140490742319558,10.0,8.0,0.553677185637688,0.41657038398778323,3.0,0.0,1.0,2.0
-0.7,78.0,11.0,1.0,0.9132722422537125,9.0,10.0,0.4377348063345072,0.5165918533258931,4.0,0.0,0.0,5.0
-0.7,78.0,12.0,0.0,0.9311462372052326,9.0,11.0,0.3933472638247322,0.7219013995155472,1.0,0.0,0.0,3.0
-0.7,78.0,13.0,0.0,0.042835456077901846,5.0,9.0,0.27582665474462204,0.6236358282993228,2.0,3.0,0.0,3.0
-0.7,78.0,14.0,0.0,0.4875518970879342,5.0,5.0,0.2912392393203559,0.268481774302274,3.0,0.0,2.0,5.0
-0.7,78.0,15.0,0.0,0.4535012493376168,3.0,6.0,0.14264753141690983,0.2929687080972058,1.0,1.0,0.0,3.0
-0.7,78.0,16.0,1.0,0.4145221998925669,3.0,7.0,0.2112000739541873,0.47695419398531075,0.0,0.0,0.0,4.0
-0.7,78.0,17.0,1.0,0.3962394563304621,3.0,6.0,0.10492741958896547,0.34533535378617153,1.0,2.0,0.0,2.0
-0.7,78.0,18.0,0.0,0.5885371690630496,9.0,6.0,0.4715978700980084,0.35165787615598754,2.0,0.0,1.0,0.0
-0.7,78.0,19.0,1.0,0.30981707696077465,4.0,7.0,0.27812940061455854,0.49197757141389337,1.0,0.0,0.0,4.0
-0.7,78.0,20.0,0.0,0.25765258793384904,3.0,10.0,0.18579245736272437,0.6056270623774705,0.0,3.0,0.0,4.0
-0.7,78.0,21.0,1.0,0.9307485793380512,14.0,9.0,0.6759284050760662,0.543248181867973,5.0,0.0,3.0,3.0
-0.7,78.0,22.0,0.0,0.7574256000910685,10.0,4.0,0.5105925627535451,0.2113477759665145,3.0,0.0,3.0,0.0
-0.7,78.0,23.0,0.0,0.7900958834530422,10.0,10.0,0.32983858013033773,0.5099649150281685,3.0,0.0,0.0,3.0
-0.7,78.0,24.0,1.0,0.5552653401798351,12.0,10.0,0.6117380867728756,0.5328240870531806,1.0,0.0,1.0,0.0
-0.7,78.0,25.0,1.0,0.505876490508627,9.0,5.0,0.5108538868771871,0.2924462068598764,2.0,0.0,3.0,1.0
-0.7,78.0,26.0,0.0,0.22825624785517973,5.0,5.0,0.2208417703788081,0.32978354552235656,4.0,1.0,0.0,3.0
-0.7,78.0,27.0,0.0,0.2609752689363035,2.0,3.0,0.12822775838795455,0.09425986734980425,0.0,0.0,0.0,1.0
-0.7,78.0,28.0,1.0,0.07674608231792246,7.0,7.0,0.3293489239160131,0.401742874354737,4.0,2.0,0.0,2.0
-0.7,78.0,29.0,0.0,0.44832247020090765,1.0,3.0,0.05979730210780878,0.20043316030237718,0.0,0.0,0.0,2.0
-0.7,78.0,30.0,0.0,0.012643697674189935,4.0,7.0,0.1947250788827509,0.3806966240046375,3.0,2.0,0.0,4.0
-0.7,78.0,31.0,1.0,0.8170814385805412,9.0,7.0,0.48460940211817,0.45561044663067524,2.0,0.0,1.0,1.0
-0.7,78.0,32.0,1.0,0.5133100091723455,18.0,15.0,0.9227244370633799,0.9997800827759081,3.0,0.0,4.0,4.0
-0.7,78.0,33.0,1.0,0.3791885996451896,9.0,7.0,0.5209950577158889,0.4209925982867197,2.0,0.0,2.0,2.0
-0.7,78.0,34.0,0.0,0.05896488934426469,1.0,8.0,0.06510661352597322,0.5672446013371945,0.0,1.0,0.0,6.0
-0.7,78.0,35.0,0.0,0.45582093839130833,12.0,8.0,0.6676678073506733,0.5167661621638845,3.0,0.0,2.0,1.0
-0.7,78.0,36.0,0.0,0.37483971959669515,5.0,5.0,0.26110032660474675,0.35739150882790877,3.0,1.0,0.0,2.0
-0.7,78.0,37.0,0.0,0.686561564365032,14.0,10.0,0.8222050148916729,0.6980836416169062,4.0,0.0,3.0,3.0
-0.7,78.0,38.0,1.0,0.4470010990280292,5.0,3.0,0.2973492557346041,0.19803663298367535,4.0,0.0,0.0,2.0
-0.7,78.0,39.0,1.0,0.5752078926645554,15.0,11.0,0.7211057570755532,0.7477031616883066,5.0,0.0,2.0,3.0
-0.7,78.0,40.0,0.0,0.8093079832697846,12.0,7.0,0.6682319796181527,0.45286093137608274,4.0,0.0,2.0,1.0
-0.7,78.0,41.0,1.0,0.7850830926404259,17.0,11.0,0.785716827763745,0.6252804141789096,7.0,0.0,2.0,3.0
-0.7,78.0,42.0,0.0,0.34291763239658246,4.0,9.0,0.24711391586298279,0.5704309579500888,0.0,1.0,0.0,4.0
-0.7,78.0,43.0,0.0,0.1886609281068954,3.0,8.0,0.16972711384868006,0.5536820397258855,1.0,1.0,0.0,5.0
-0.7,78.0,44.0,0.0,0.5648025750163853,11.0,11.0,0.5033044749894271,0.5762270713407955,3.0,0.0,1.0,4.0
-0.7,78.0,45.0,0.0,0.9353355566032237,15.0,8.0,0.9255519717841533,0.5768500104350153,5.0,0.0,2.0,0.0
-0.7,78.0,46.0,0.0,0.008961075460597545,0.0,4.0,4.4024719298758306e-17,0.28488184489101015,0.0,1.0,0.0,3.0
-0.7,78.0,47.0,1.0,0.7176936135354136,15.0,10.0,0.7801315699812819,0.6586666057964222,6.0,0.0,1.0,2.0
-0.7,78.0,48.0,1.0,0.3087321564737676,7.0,13.0,0.47572421547921434,0.8218607080311344,2.0,0.0,0.0,8.0
-0.7,78.0,49.0,1.0,0.7943729061810674,11.0,8.0,0.6265822117873567,0.49605309861463964,3.0,0.0,2.0,2.0
-0.7,78.0,50.0,0.0,0.9010726512858624,10.0,6.0,0.4966401178181323,0.3517911550546215,2.0,0.0,2.0,0.0
-0.7,78.0,51.0,0.0,0.8973472812633329,8.0,9.0,0.403441515064649,0.5727922119414655,1.0,0.0,0.0,2.0
-0.7,78.0,52.0,0.0,0.14339750336428259,3.0,3.0,0.1364399133843337,0.19105395958202037,1.0,0.0,0.0,1.0
-0.7,78.0,53.0,1.0,0.8148177126308878,16.0,14.0,0.8788726462801031,0.9742655795404764,1.0,0.0,2.0,1.0
-0.7,78.0,54.0,1.0,0.6283289310448431,17.0,14.0,1.0,0.9299841469340606,5.0,0.0,1.0,3.0
-0.7,78.0,55.0,1.0,0.2377334682207145,2.0,6.0,0.1272493564306381,0.3764004927501916,1.0,3.0,0.0,2.0
-0.7,78.0,56.0,1.0,0.06920867661155161,2.0,7.0,0.09884941754660612,0.46491293169341397,0.0,1.0,0.0,4.0
-0.7,78.0,57.0,1.0,0.37149779324628807,9.0,10.0,0.44724457027600495,0.5144714456310605,3.0,2.0,1.0,3.0
