gamma,replicate,individual,type,theshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.4,60.0,0.0,0.0,0.7459596811135265,8.0,6.0,0.2782801201285415,0.23170429486945301,2.0,0.0,2.0,2.0
-0.4,60.0,1.0,0.0,0.48857848387728686,13.0,11.0,0.45127105731776157,0.4380576477999427,3.0,0.0,3.0,4.0
-0.4,60.0,2.0,0.0,0.9677175302065912,15.0,11.0,0.639784271221291,0.6143153208819296,2.0,0.0,4.0,2.0
-0.4,60.0,3.0,1.0,0.6068060092093405,11.0,2.0,0.42608623417310704,0.09855122782353053,8.0,1.0,2.0,0.0
-0.4,60.0,4.0,1.0,0.3150598037482977,1.0,10.0,0.060100128633566494,0.5052996659036256,0.0,1.0,0.0,8.0
-0.4,60.0,5.0,1.0,0.26513767235469843,6.0,11.0,0.263214682775299,0.5633372706217695,4.0,1.0,0.0,8.0
-0.4,60.0,6.0,0.0,0.7450849956176879,10.0,4.0,0.4157707063326304,0.16808867870574815,4.0,0.0,2.0,0.0
-0.4,60.0,7.0,1.0,0.45270361647798607,14.0,12.0,0.6483506601391705,0.5938918128671488,3.0,1.0,1.0,1.0
-0.4,60.0,8.0,0.0,0.9297263287340919,14.0,12.0,0.6448125822165605,0.49144380795083564,3.0,0.0,1.0,2.0
-0.4,60.0,9.0,0.0,0.3250696917002215,2.0,3.0,0.06873893486782551,0.12161225479081324,1.0,1.0,0.0,1.0
-0.4,60.0,10.0,1.0,0.2856872550173202,8.0,12.0,0.4938416981645676,0.5884443887247387,1.0,2.0,0.0,3.0
-0.4,60.0,11.0,0.0,0.955129688917174,11.0,9.0,0.3814168726955818,0.34617344965948627,2.0,0.0,0.0,0.0
-0.4,60.0,12.0,0.0,0.28442300347439187,4.0,11.0,0.23163537467170553,0.6359729894036535,0.0,2.0,0.0,5.0
-0.4,60.0,13.0,0.0,0.04895825325420111,5.0,10.0,0.18685999763099823,0.37791929189172635,3.0,2.0,0.0,6.0
-0.4,60.0,14.0,0.0,0.4553047542579569,13.0,12.0,0.5451022490413129,0.521049558474073,2.0,0.0,2.0,3.0
-0.4,60.0,15.0,1.0,0.2793095018728714,1.0,5.0,0.030061399387459622,0.21198493959678316,1.0,1.0,0.0,4.0
-0.4,60.0,16.0,1.0,0.06721248867556995,2.0,5.0,0.10722054230240327,0.17178086549336855,1.0,0.0,0.0,4.0
-0.4,60.0,17.0,1.0,0.20471480473423354,1.0,4.0,0.02621352045117422,0.16760511464649105,1.0,1.0,0.0,3.0
-0.4,60.0,18.0,1.0,0.5676946109027688,12.0,8.0,0.5708811196402878,0.42339980621042195,2.0,0.0,3.0,1.0
-0.4,60.0,19.0,0.0,0.21582862087609556,3.0,7.0,0.10286913677036756,0.28490293249239124,2.0,1.0,0.0,5.0
-0.4,60.0,20.0,0.0,0.7732983994664113,8.0,2.0,0.29324457123092723,0.07161142915245539,3.0,0.0,3.0,0.0
-0.4,60.0,21.0,0.0,0.30354634572652295,4.0,10.0,0.13821271988244227,0.536735432051489,1.0,2.0,1.0,6.0
-0.4,60.0,22.0,1.0,0.7392603287887379,16.0,12.0,0.5737653935257505,0.4892693315870005,3.0,0.0,1.0,0.0
-0.4,60.0,23.0,0.0,0.39696797447859966,8.0,7.0,0.32800070532643355,0.292629925056852,2.0,0.0,1.0,2.0
-0.4,60.0,24.0,1.0,0.21201281457407317,5.0,8.0,0.19128614403342495,0.3711282016913487,4.0,1.0,0.0,6.0
-0.4,60.0,25.0,1.0,0.48896839523871194,12.0,5.0,0.40504289190201714,0.18429977710127432,7.0,0.0,2.0,2.0
-0.4,60.0,26.0,0.0,0.9487679086084166,10.0,9.0,0.32926228536768853,0.3374444398818495,2.0,0.0,1.0,2.0
-0.4,60.0,27.0,1.0,0.21168570804811881,5.0,6.0,0.20853199341766618,0.255226817349394,2.0,2.0,1.0,2.0
-0.4,60.0,28.0,0.0,0.14119751960468996,6.0,9.0,0.2719951421449765,0.43307034011042345,3.0,2.0,0.0,4.0
-0.4,60.0,29.0,1.0,0.7563944215945689,12.0,4.0,0.5296066823884571,0.18060455616472987,6.0,0.0,2.0,0.0
-0.4,60.0,30.0,1.0,0.6064230749025395,14.0,16.0,0.6282189301673765,0.8278761894959585,3.0,0.0,2.0,7.0
-0.4,60.0,31.0,1.0,0.8444234180216129,10.0,8.0,0.439559630051458,0.32652834354012134,3.0,0.0,1.0,2.0
-0.4,60.0,32.0,1.0,0.5370891729326535,15.0,10.0,0.705807126612243,0.4591044665129713,5.0,0.0,1.0,1.0
-0.4,60.0,33.0,1.0,0.5814813195178883,18.0,12.0,0.8211840644051651,0.6051285427699654,5.0,0.0,1.0,0.0
-0.4,60.0,34.0,0.0,0.8213134352398809,14.0,12.0,0.6428600874811802,0.6193429716902685,1.0,0.0,3.0,2.0
-0.4,60.0,35.0,1.0,0.9976775329684153,11.0,5.0,0.6301849354795186,0.2010978056894952,4.0,0.0,2.0,0.0
-0.4,60.0,36.0,1.0,0.47937336503531114,13.0,6.0,0.5690375334207347,0.3511924215939594,6.0,0.0,2.0,1.0
-0.4,60.0,37.0,1.0,0.8244679242328501,13.0,11.0,0.6320462855217985,0.4903217293182246,4.0,0.0,2.0,4.0
-0.4,60.0,38.0,0.0,0.15407370241155494,3.0,7.0,0.11768785332997926,0.2730535192700916,1.0,1.0,0.0,4.0
-0.4,60.0,39.0,0.0,0.6588207181701413,10.0,7.0,0.29321491029658603,0.28535316992642257,4.0,0.0,1.0,2.0
-0.4,60.0,40.0,0.0,0.19274214715272087,2.0,4.0,0.09552749658187333,0.23816364065032186,1.0,2.0,0.0,1.0
-0.4,60.0,41.0,1.0,0.09432643873325564,6.0,7.0,0.25084251332527396,0.2672802151024607,3.0,2.0,0.0,2.0
-0.4,60.0,42.0,0.0,0.847981994084108,10.0,3.0,0.3907512181105642,0.2070052477007332,5.0,0.0,2.0,0.0
-0.4,60.0,43.0,1.0,0.29333914759361224,8.0,7.0,0.43441488285978447,0.2738948160203113,4.0,2.0,1.0,2.0
-0.4,60.0,44.0,0.0,0.27739750717014033,0.0,12.0,2.5280656334046168e-17,0.5684463047605649,0.0,6.0,0.0,6.0
-0.4,60.0,45.0,1.0,0.6018921962326073,14.0,9.0,0.7605647236799752,0.5077630314011693,6.0,0.0,0.0,1.0
-0.4,60.0,46.0,1.0,0.05847456033958953,1.0,2.0,0.04997039450954761,0.09820417256005765,1.0,1.0,0.0,1.0
