gamma,replicate,individual,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.9,2,15,1,0,1,3
0.9,2,16,2,0,1,0
0.9,2,17,0,0,0,1
0.9,2,18,0,1,0,1
0.9,2,19,0,1,0,3
0.9,2,20,0,0,1,0
0.9,2,21,1,0,0,2
0.9,2,22,0,0,0,2
0.9,2,23,2,1,0,0
0.9,2,24,2,2,1,1
0.9,2,25,0,2,0,1
0.9,2,26,0,2,0,1
0.9,2,27,1,0,1,1
0.9,2,28,0,1,1,0
0.9,2,29,1,1,0,0
0.9,2,30,0,2,0,2
0.9,2,31,0,0,0,2
0.9,2,32,2,0,0,0
0.9,2,33,0,1,0,2
0.9,2,34,0,0,1,0
0.9,2,35,1,1,3,0
0.9,2,36,0,1,0,0
0.9,2,37,1,0,0,0
0.9,2,38,0,2,0,0
0.9,2,39,1,0,1,1
0.9,2,40,0,1,0,2
0.9,2,41,0,1,0,3
0.9,2,42,0,0,0,1
0.9,2,43,0,1,0,1
0.9,2,44,0,0,0,0
0.9,2,45,0,0,0,0
0.9,2,46,0,2,0,1
0.9,2,47,0,2,0,2
0.9,2,48,1,2,0,0
0.9,2,49,1,2,1,0
0.9,2,50,2,0,2,0
0.9,2,51,3,0,1,0
0.9,2,52,0,0,1,3
0.9,2,53,0,1,0,0
0.9,2,54,0,0,1,1
0.9,2,55,0,1,2,0
0.9,2,56,0,1,1,1
0.9,2,57,0,3,0,3
0.9,2,58,1,0,2,0
0.9,2,59,0,4,0,1
0.9,2,60,0,1,0,0
0.9,2,61,0,1,0,1
0.9,2,62,0,0,0,0
0.9,2,63,0,0,0,1
0.9,2,64,2,0,1,0
0.9,2,65,1,0,0,0
0.9,2,66,1,0,1,1
0.9,2,67,0,1,1,2
0.9,2,68,1,3,1,0
0.9,2,69,0,0,1,0
0.9,2,70,0,2,0,0
0.9,2,71,0,4,0,0
0.9,2,72,0,2,0,4
0.9,2,73,1,1,1,2
0.9,2,74,0,1,0,2
0.9,2,75,0,1,0,1
0.9,2,76,1,0,1,0
0.9,2,77,1,1,1,1
0.9,2,78,0,0,0,2
0.9,2,79,1,2,0,2
0.9,2,80,0,2,0,1
0.9,2,81,0,1,0,0
0.9,2,82,1,0,0,0
0.9,2,83,0,1,1,0
0.9,2,84,0,2,0,1
0.9,2,85,0,1,3,0
0.9,2,86,1,1,1,1
0.9,2,87,1,0,3,0
0.9,2,88,0,3,0,0
0.9,2,89,1,2,0,4
0.9,2,90,1,0,1,1
0.9,2,91,2,0,2,4
0.9,2,92,1,0,0,3
0.9,2,93,0,1,0,1
0.9,2,94,0,1,0,0
0.9,2,95,1,0,1,0
0.9,2,96,0,1,0,1
0.9,2,97,0,2,0,1
0.9,2,98,0,2,1,1
0.9,2,99,0,0,2,0
0.9,2,100,1,0,0,3
0.9,2,101,0,0,3,1
0.9,2,102,0,0,0,1
0.9,2,103,2,1,3,1
0.9,2,104,0,2,0,1
0.9,2,105,0,3,0,3
0.9,2,106,0,0,1,3
0.9,2,107,1,1,0,0
0.9,2,108,0,3,3,0
0.9,2,109,0,2,0,1
0.9,2,110,0,1,0,1
0.9,2,111,1,1,2,0
0.9,2,112,0,1,0,0
0.9,2,113,0,0,1,0
0.9,2,114,0,1,0,1
0.9,2,115,0,1,0,0
0.9,2,116,0,0,0,1
0.9,2,117,0,3,1,0
0.9,2,118,3,1,1,2
0.9,2,119,0,1,0,2
0.9,2,120,1,0,1,0
0.9,2,121,1,2,2,0
0.9,2,122,0,0,0,0
0.9,2,123,0,0,1,0
0.9,2,124,0,0,0,1
0.9,2,125,0,1,0,1
0.9,2,126,0,1,1,0
0.9,2,127,0,0,3,0
0.9,2,128,0,4,1,0
0.9,2,129,0,0,0,0
0.9,2,130,1,0,1,1
