gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.5,13.0,93.0,0.0,0.04863386585308249,4.0,4.0,0.16538652203042445,0.18769824725736392,2.0,1.0,1.0,2.0
0.5,13.0,94.0,0.0,0.21298403222197748,5.0,9.0,0.2525266007333989,0.5253884206369109,1.0,2.0,2.0,5.0
0.5,13.0,95.0,1.0,0.13019416499779324,9.0,14.0,0.3926521634403963,0.8102548295153629,1.0,3.0,1.0,4.0
0.5,13.0,96.0,0.0,0.9650214058162675,13.0,7.0,0.6202785823312218,0.34485067020387583,5.0,0.0,3.0,2.0
0.5,13.0,97.0,1.0,0.3175498758857238,11.0,10.0,0.4776391300935406,0.5647299546248239,2.0,1.0,1.0,1.0
0.5,13.0,98.0,0.0,0.694309325842115,8.0,7.0,0.29510765738047645,0.31920748488996703,0.0,0.0,1.0,0.0
0.5,13.0,99.0,1.0,0.6760796116258186,9.0,12.0,0.3130118970856713,0.5782542135007304,1.0,0.0,0.0,4.0
0.5,13.0,100.0,0.0,0.02071360015099999,3.0,6.0,0.1291206068630438,0.2669756466811095,1.0,1.0,0.0,3.0
0.5,13.0,101.0,1.0,0.39671371225541896,11.0,8.0,0.5103487449039014,0.44999607612483344,1.0,0.0,2.0,0.0
0.5,13.0,102.0,0.0,0.7901716033652688,9.0,9.0,0.26869950743894505,0.4454153027487755,1.0,0.0,0.0,1.0
0.5,13.0,103.0,1.0,0.01795149829911513,5.0,9.0,0.22746272939848639,0.5783217597481046,0.0,1.0,0.0,3.0
0.5,13.0,104.0,1.0,0.24435818136777832,2.0,10.0,0.06108231983983166,0.5299620494761171,0.0,4.0,0.0,4.0
0.5,13.0,105.0,0.0,0.5029811296533185,11.0,9.0,0.4675537091336837,0.49500755324103324,1.0,0.0,2.0,1.0
0.5,13.0,106.0,0.0,0.3103138288154207,8.0,8.0,0.3274124678896419,0.4156410395762773,0.0,1.0,2.0,1.0
0.5,13.0,107.0,0.0,0.8044312258800506,5.0,4.0,0.21672329438243734,0.2411374164793154,0.0,0.0,2.0,1.0
0.5,13.0,108.0,0.0,0.8262432679119693,5.0,4.0,0.19545302357797203,0.21218959652063835,1.0,0.0,0.0,0.0
0.5,13.0,109.0,0.0,0.5795126859043616,7.0,6.0,0.2751583595197402,0.3645518075646962,2.0,1.0,1.0,1.0
0.5,13.0,110.0,1.0,0.46686683451787814,12.0,10.0,0.5079357546143907,0.5200361828887201,3.0,0.0,2.0,3.0
0.5,13.0,111.0,0.0,0.8698544112558535,12.0,9.0,0.620450854605987,0.4886514687423121,3.0,0.0,2.0,2.0
0.5,13.0,112.0,1.0,0.8889130659252902,10.0,9.0,0.4307821431678672,0.4612437104060273,2.0,0.0,0.0,1.0
0.5,13.0,113.0,1.0,0.43828830432945987,9.0,7.0,0.3696451418746159,0.38718000580598616,1.0,0.0,1.0,0.0
0.5,13.0,114.0,1.0,0.5901647585872816,12.0,8.0,0.4526302817460206,0.38290608342642823,3.0,0.0,2.0,1.0
0.5,13.0,115.0,0.0,0.37876314396438193,8.0,10.0,0.34617975755643926,0.5182992948077515,0.0,0.0,1.0,3.0
0.5,13.0,116.0,1.0,0.008872255619788105,3.0,5.0,0.12761972520706447,0.22914880714545555,0.0,2.0,1.0,1.0
