trial,samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,avg_cascade_size,active_diff,cascade_bias,gamma,replicate
post,20.0,8.549,4.5625,3.9865,9.7771,5.0413,4.7358,1.1257085302151784,5.4495,0.659559467401836,-0.10000000000001588,28
pre,20.0,10.645,5.7547,4.8903,55.2739,31.5186,23.7553,4.89294346830072,8.2545,0.1869077382661405,-0.10000000000001588,28
post,20.0,8.3343,4.2128,4.1215,9.256,4.61,4.646,1.0905019487353917,5.2082,0.6626152245321175,-0.10000000000001588,8
pre,20.0,10.307,5.203,5.104,59.3222,29.741,29.5812,5.207661315708491,4.3496,0.16026268136104505,-0.10000000000001588,8
post,20.0,8.3662,4.3098,4.0564,9.8836,5.3115,4.5721,1.1598935899481377,5.5094,0.6569071921251215,-0.10000000000001588,95
pre,20.0,9.9698,5.1915,4.7783,43.3231,20.8166,22.5065,4.471378954281996,4.6325,0.13793118067906435,-0.10000000000001588,95
post,20.0,7.8207,3.8745,3.9462,8.9697,4.5564,4.4133,1.1236072944120925,5.2427,0.6836126800350044,-0.10000000000001588,89
pre,20.0,9.3235,4.5526,4.7709,21.8136,9.7062,12.1074,2.2157882113671894,5.012,0.2965075695254239,-0.10000000000001588,89
post,20.0,8.0352,3.9902,4.045,9.0947,4.5152,4.5795,1.1135967866416527,5.1937,0.6713812473088935,-0.10000000000001588,90
pre,20.0,9.763,4.7294,5.0336,56.0725,28.5659,27.5066,6.419232718804408,4.3979,0.09124396418564211,-0.10000000000001588,90
post,20.0,8.2478,4.0088,4.239,9.2471,4.5767,4.6704,1.1026244589041714,5.1929,0.660120058062855,-0.10000000000001588,72
pre,20.0,10.1544,4.9961,5.1583,54.1392,25.3484,28.7908,5.787267120064103,5.1984,0.10835114829289241,-0.10000000000001588,72
post,20.0,7.7118,3.754,3.9578,8.535,4.1298,4.4052,1.0947551073978343,4.9066,0.6761769260534805,-0.10000000000001588,76
pre,20.0,9.5556,4.5789,4.9767,37.0657,14.934,22.1317,3.726047852847906,7.7555,0.2562337501717858,-0.10000000000001588,76
post,20.0,7.7153,3.8404,3.8749,8.3784,4.2896,4.0888,1.0680218056387771,4.939,0.6896557580823947,-0.10000000000001588,39
pre,20.0,9.5351,4.6389,4.8962,43.0472,21.1503,21.8969,4.655856698617628,4.0768,0.11705540600298994,-0.10000000000001588,39
post,20.0,8.4078,4.0158,4.392,9.6853,4.6382,5.0471,1.1335098110429012,5.3609,0.6539917980858495,-0.10000000000001588,66
pre,20.0,10.4042,5.1315,5.2727,61.5406,29.803,31.7376,5.550688916517888,4.993,0.14029666817541164,-0.10000000000001588,66
post,20.0,8.3947,4.0705,4.3242,10.2454,4.9803,5.2651,1.1916706498993508,5.714,0.6521773148421854,-0.10000000000001588,42
pre,20.0,9.9989,4.8818,5.1171,46.5831,21.4056,25.1775,4.8093111642936295,5.3569,0.13927704653376624,-0.10000000000001588,42
post,20.0,8.1167,4.1345,3.9822,8.8596,4.565,4.2946,1.080861902383435,4.9742,0.6684964079808833,-0.10000000000001588,79
pre,20.0,9.6874,5.0332,4.6542,35.6747,19.5425,16.1322,3.737810563603673,5.3501,0.19350651021274495,-0.10000000000001588,79
post,20.0,7.8822,3.9479,3.9343,8.8273,4.5609,4.2664,1.0984144744362445,5.1445,0.682492457390979,-0.10000000000001588,11
pre,20.0,9.5491,4.6353,4.9138,45.3896,24.2223,21.1673,5.121933444811522,5.3316,0.1462554326029832,-0.10000000000001588,11
post,20.0,7.8869,3.9519,3.935,9.2599,4.5851,4.6748,1.1531402789505505,5.2323,0.6600217756415362,-0.10000000000001588,17
pre,20.0,9.5142,4.4406,5.0736,29.6299,12.0231,17.6068,3.0807371691448515,6.3075,0.2588868994952055,-0.10000000000001588,17
post,20.0,8.1555,4.1139,4.0416,8.84,4.4679,4.3721,1.0658431836572158,4.9408,0.6593993177645217,-0.10000000000001588,70
pre,20.0,9.8323,5.1091,4.7232,27.2057,13.716,13.4897,2.644172735369231,4.6829,0.2513162444674769,-0.10000000000001588,70
post,20.0,7.999,3.8801,4.1189,9.2614,4.2838,4.9776,1.1383040710189114,5.3316,0.6746250203100034,-0.10000000000001588,25
pre,20.0,9.5632,4.6966,4.8666,29.7402,14.3492,15.391,3.14722049243618,3.9994,0.173522322765117,-0.10000000000001588,25
