gamma,replicate,assort_type_final,assort_type_initial,assort_thresh_final,assort_thresh_initial
-0.2,86,0.326700834,0.014605842,-0.151502024,0.046895696
-0.2,87,0.403654495,0.059853102,-0.173430307,-0.038990382
-0.2,88,0.316832845,-0.039971557,-0.143264404,-0.017410046
-0.2,89,0.348713379,0.002149193,-0.18652535,-0.057721608
-0.2,90,0.419909361,0.039783951,-0.201693726,-0.025841702
-0.2,91,0.324848091,-0.012539552,-0.133404901,-0.006175844
-0.2,92,0.332240349,-0.034039216,-0.110542944,0.012891507
-0.2,93,0.389450505,-0.015514104,-0.159294048,-0.021445291
-0.2,94,0.31472589,-0.007854324,-0.080049003,0.016470263
-0.2,95,0.344934493,-0.0282085,-0.136701661,7.81E-05
-0.2,96,0.387154317,0.007374371,-0.112753497,-0.000406326
-0.2,97,0.352377559,0.017314211,-0.168873241,-0.049825759
-0.2,98,0.319961748,0.017375637,-0.144651875,0.026852922
-0.2,99,0.337267008,-0.035232927,-0.13218292,0.013326286
-0.3,0,0.364857093,0.022486254,-0.096561422,0.026818248
-0.3,1,0.381896383,-0.010309407,-0.232375592,-0.083192058
-0.3,2,0.334584115,0.014993844,-0.123953679,0.015039066
-0.3,3,0.377281075,-0.002514098,-0.157811211,-0.03445805
-0.3,4,0.259217549,-0.032329193,-0.124094874,0.006164607
-0.3,5,0.425344143,0.022241811,-0.168731299,-0.042017691
-0.3,6,0.287445445,-0.037696189,-0.056777628,0.052234925
-0.3,7,0.462431964,0.064853883,-0.105444224,0.029067287
-0.3,8,0.337267008,0.044850758,-0.139513085,0.062420939
-0.3,9,0.339933993,0.012239169,-0.131196204,-0.001820258
-0.3,10,0.354673303,-0.022578291,-0.097398626,0.043422726
-0.3,11,0.374095667,0.01724049,-0.151422036,-0.042564556
-0.3,12,0.375343961,0.034975874,-0.127313535,0.0222144
-0.3,13,0.309694556,-0.022961931,-0.202014662,-0.086828749
-0.3,14,0.400768784,0.028634017,-0.145758189,0.016030851
