trial,samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,avg_cascade_size,active_diff,cascade_bias,gamma,replicate
post,20.0,10.2939,5.0619,5.232,14.6229,6.8693,7.7536,1.4192849669362446,8.6783,0.569248193543925,-0.10000000000001588,59
pre,20.0,10.2651,5.0519,5.2132,78.2739,37.6327,40.6412,7.83703514934415,5.2017,0.07291245764030509,-0.10000000000001588,59
post,20.0,9.5763,4.8062,4.7701,13.4335,6.6455,6.788,1.3969977713250503,8.4523,0.6095985165653661,-0.10000000000001588,77
pre,20.0,9.5773,4.7555,4.8218,51.3546,25.5446,25.81,5.417054760843063,6.0872,0.13472984997312468,-0.10000000000001588,77
post,20.0,9.0753,4.5161,4.5592,12.7922,6.3419,6.4503,1.4024376135465932,8.389,0.6327965489384074,-0.10000000000001588,30
pre,20.0,9.0923,4.5015,4.5908,34.8835,17.2674,17.6161,3.9036031466241847,5.2569,0.16540745924074332,-0.10000000000001588,30
post,20.0,10.8512,5.4304,5.4208,16.9247,8.2072,8.7175,1.5596430112762272,10.5255,0.6035593400479875,-0.10000000000001588,74
pre,20.0,10.8845,5.3596,5.5249,132.8644,66.06,66.8044,12.530681231303934,5.5102,0.0476630413690721,-0.10000000000001588,74
post,20.0,10.2714,5.5185,4.7529,15.3704,8.4468,6.9236,1.4892252538057982,9.6608,0.6011266756524265,-0.10000000000001588,80
pre,20.0,10.2937,5.4997,4.794,58.6317,31.2352,27.3965,5.9527204635873945,5.9513,0.10224632144345308,-0.10000000000001588,80
post,20.0,10.0868,5.4215,4.6653,14.6946,7.9197,6.7749,1.4531919303297445,9.0992,0.5980207691251485,-0.10000000000001588,62
pre,20.0,10.1058,5.3903,4.7155,87.2056,48.1735,39.0321,8.782817444216032,9.5134,0.11772652891019593,-0.10000000000001588,62
post,20.0,10.3732,5.1211,5.2521,14.6989,6.9702,7.7287,1.4150294320161982,9.0905,0.5915888820880932,-0.10000000000001588,1
pre,20.0,10.3649,5.0709,5.294,70.8378,32.2399,38.5979,7.0623406878024735,7.476,0.1110367611502697,-0.10000000000001588,1
post,20.0,10.1734,5.0147,5.1587,15.2327,7.4747,7.758,1.4936751753909185,9.5923,0.6156218137667937,-0.10000000000001588,75
pre,20.0,10.2347,4.9988,5.2359,48.1497,23.3381,24.8116,4.513654913244204,5.5399,0.14871903223559815,-0.10000000000001588,75
post,20.0,9.6054,4.798,4.8074,13.4,6.5859,6.8141,1.38573022087734,8.764,0.6247517407646944,-0.10000000000001588,51
pre,20.0,9.5958,4.7093,4.8865,35.9203,15.5849,20.3354,3.785913723428982,6.4677,0.19627200303567358,-0.10000000000001588,51
post,20.0,10.1046,4.7647,5.3399,14.3322,6.5926,7.7396,1.4124036511239966,8.9664,0.6006879922520112,-0.10000000000001588,57
pre,20.0,10.1318,4.7527,5.3791,62.638,27.0614,35.5766,6.2430780325557,9.1682,0.15738609237287027,-0.10000000000001588,57
post,20.0,10.2775,5.168,5.1095,15.0665,7.5578,7.5087,1.4613059763894565,9.2881,0.585620768310398,-0.10000000000001588,69
pre,20.0,10.2374,5.1589,5.0785,72.4117,34.6752,37.7365,7.138477413833562,5.7793,0.08856193968148027,-0.10000000000001588,69
post,20.0,10.3039,5.2802,5.0237,14.578,7.5902,6.9878,1.4121026520229107,9.0724,0.6033312758732048,-0.10000000000001588,0
pre,20.0,10.3114,5.2228,5.0886,71.6103,35.7789,35.8314,6.9753880210754975,5.4393,0.09931371247228483,-0.10000000000001588,0
post,20.0,10.1925,5.408,4.7845,15.4433,8.4566,6.9867,1.5037875752163339,10.0073,0.6099538163736978,-0.10000000000001588,24
pre,20.0,10.2074,5.3783,4.8291,69.7639,38.2823,31.4816,7.142661558759873,8.2655,0.11850215368210888,-0.10000000000001588,24
post,20.0,9.9504,5.1965,4.7539,14.5317,7.6786,6.8531,1.457137558812014,9.1759,0.6142028836275526,-0.10000000000001588,95
pre,20.0,10.0367,5.2342,4.8025,51.7657,25.1385,26.6272,5.258113876949514,5.6195,0.12043691503166562,-0.10000000000001588,95
post,20.0,9.774,5.2346,4.5394,14.7051,7.9384,6.7667,1.4999430181149263,9.2551,0.607232963413973,-0.10000000000001588,31
pre,20.0,9.7646,5.1893,4.5753,71.2954,40.147,31.1484,7.684489504871667,9.4226,0.13073902756562347,-0.10000000000001588,31
post,20.0,9.5585,4.8413,4.7172,13.2873,6.7048,6.5825,1.383641687038461,8.4985,0.6266512678273881,-0.10000000000001588,86
pre,20.0,9.5272,4.8247,4.7025,29.1544,13.4502,15.7042,3.0835147447062923,6.3472,0.2453640112451424,-0.10000000000001588,86
post,20.0,9.8983,4.6723,5.226,14.4,6.4215,7.9785,1.4475497435571072,9.0426,0.6015142177347051,-0.10000000000001588,98
pre,20.0,9.8813,4.7047,5.1766,53.0987,24.3797,28.719,5.4381301748577915,6.3221,0.12332860728783455,-0.10000000000001588,98
post,20.0,9.3077,4.8081,4.4996,13.1502,7.0227,6.1275,1.4087445940252705,7.915,0.5789610374623807,-0.10000000000001588,15
pre,20.0,9.3465,4.8218,4.5247,41.4613,23.072,18.3893,4.417405808276693,6.2665,0.18248201073994183,-0.10000000000001588,15
post,20.0,9.5498,4.5136,5.0362,13.8905,6.4479,7.4426,1.4486730488700619,8.9373,0.6186028298459685,-0.10000000000001588,17
pre,20.0,9.6143,4.5162,5.0981,41.7057,14.9904,26.7153,4.399133271341654,11.9175,0.30097140671081235,-0.10000000000001588,17
post,20.0,10.1276,5.3226,4.805,14.4947,7.7766,6.7181,1.4280520938916699,9.1691,0.6088135390592805,-0.10000000000001588,16
pre,20.0,10.1346,5.391,4.7436,60.1037,32.6623,27.4414,5.964707188939793,7.2347,0.12385204552071177,-0.10000000000001588,16
post,20.0,9.7536,4.7522,5.0014,14.0371,6.6681,7.369,1.4290327942400876,8.8215,0.6049825863377669,-0.10000000000001588,90
pre,20.0,9.7954,4.8081,4.9873,44.3938,21.2197,23.1741,4.72069159030953,5.4338,0.1257453451774307,-0.10000000000001588,90
post,20.0,9.9908,5.2765,4.7143,14.0397,7.6628,6.3769,1.398584365833268,8.9069,0.6116233806326591,-0.10000000000001588,36
pre,20.0,9.9324,5.2217,4.7107,59.9919,33.828,26.1639,6.279009436631471,8.3613,0.14285935738357897,-0.10000000000001588,36
post,20.0,9.3393,5.1026,4.2367,13.0997,7.7591,5.3406,1.3906580829383166,8.1645,0.5817976426303996,-0.10000000000001588,96
pre,20.0,9.3233,5.0612,4.2621,53.454,31.5437,21.9103,5.905791992737642,10.1628,0.1917192094596616,-0.10000000000001588,96
post,20.0,9.884,5.1854,4.6986,13.838,7.2749,6.5631,1.396599416074133,8.9186,0.6267518864805619,-0.10000000000001588,70
pre,20.0,9.9171,5.179,4.7381,37.2135,18.1776,19.0359,3.658077139554616,6.1963,0.20691800680721403,-0.10000000000001588,70
post,20.0,10.2206,5.3894,4.8312,15.7243,8.4546,7.2697,1.5337771995007132,9.9071,0.6102420178656174,-0.10000000000001588,87
pre,20.0,10.2732,5.5048,4.7684,48.6863,26.7895,21.8968,4.811115116514871,6.6267,0.1358533288845167,-0.10000000000001588,87
post,20.0,9.5199,4.691,4.8289,14.0757,7.1548,6.9209,1.4694600898026977,9.3893,0.6335468510241105,-0.10000000000001588,11
pre,20.0,9.4957,4.6936,4.8021,39.0664,21.0936,17.9728,4.145895917750554,6.8194,0.19000981117563467,-0.10000000000001588,11
post,20.0,9.9715,4.7116,5.2599,15.2424,7.0749,8.1675,1.5269141790467902,9.5282,0.6058389705483259,-0.10000000000001588,92
pre,20.0,9.8988,4.7038,5.195,51.6114,23.3562,28.2552,5.277877061968397,6.5534,0.1421300950876282,-0.10000000000001588,92
post,20.0,9.6049,4.68,4.9249,13.8982,6.8691,7.0291,1.4433261610164656,8.9802,0.629937519494521,-0.10000000000001588,39
pre,20.0,9.6007,4.7198,4.8809,32.2533,16.8541,15.3992,3.3293813246397392,5.7349,0.1959952092202369,-0.10000000000001588,39
post,20.0,10.1786,5.3397,4.8389,15.4981,8.4596,7.0385,1.5152301142089861,10.0709,0.6221926852701481,-0.10000000000001588,37
pre,20.0,10.1789,5.3636,4.8153,64.7281,33.4035,31.3246,6.642380483884427,5.3201,0.08740351902664596,-0.10000000000001588,37
post,20.0,9.9811,5.013,4.9681,14.5147,7.1227,7.392,1.4481470341928973,9.2023,0.6079725510266635,-0.10000000000001588,2
pre,20.0,10.0091,5.1539,4.8552,49.1315,25.3735,23.758,4.953012749302902,5.2411,0.11359219194663248,-0.10000000000001588,2
