Gamma,Assortativity
-0.9,0.20270886179738482
-0.9,0.14932010251869418
-0.9,0.14810507871122483
-0.9,0.16212919865435096
-0.9,0.1907534277655256
-0.9,0.1585735212823305
-0.9,0.17664875141871716
-0.9,0.169099220031891
-0.9,0.13314640027548152
-0.9,0.16222380618819365
-0.9,0.18205719508195944
-0.9,0.19214895892136546
-0.9,0.22316901339720552
-0.9,0.29797469260589793
-0.9,0.1464662365205283
-0.9,0.2720118880661168
-0.9,0.1502958926001901
-0.9,0.18653065358843643
-0.9,0.254739049324832
-0.9,0.2474323586959418
-0.9,0.1421373859735789
-0.9,0.23378975714551123
-0.9,0.2042413357633944
-0.9,0.1232019298403425
-0.9,0.164455439955625
-0.9,0.2267777674771353
-0.9,0.14333005849419286
-0.9,0.2611156856870341
-0.9,0.2074178922887797
-0.9,0.2542085679108969
-0.9,0.2634495084612014
-0.9,0.21230892804157298
-0.9,0.19121117945360264
-0.9,0.2223870292519293
-0.9,0.12830639141479258
-0.9,0.19899269305015108
-0.9,0.1746611993083689
-0.9,0.2485528216968368
-0.9,0.18829494602300959
-0.9,0.22395253314951655
-0.9,0.16793952493951278
-0.9,0.3028631415936978
-0.9,0.20796852964838144
-0.9,0.16196703603091284
-0.9,0.2254901169368146
-0.9,0.22749920803416407
-0.9,0.16003786967575293
-0.9,0.16897315611648978
-0.9,0.1673458073458074
-0.9,0.2736396224584114
-0.9,0.19049007275591098
-0.9,0.17611538073635155
-0.9,0.2368579650933475
-0.9,0.22562114626102178
-0.9,0.16739858638769867
-0.9,0.23986747984633086
-0.9,0.3337526393852597
-0.9,0.16246624088582745
-0.9,0.22562545420926372
-0.9,0.16866306986933222
-0.9,0.3091319355994552
-0.9,0.17498579014923424
-0.9,0.17179008917797634
-0.9,0.24260000319317435
-0.9,0.2327518321365386
-0.9,0.22322404371584703
-0.9,0.1489256372260352
-0.9,0.2410239194405624
-0.9,0.20806365834337953
-0.9,0.24949559874828797
-0.9,0.19067195331728815
-0.9,0.20336370933770453
-0.9,0.1948597467039943
-0.9,0.20204131204377543
-0.8,0.21668350366555708
-0.8,0.21208683174042578
-0.8,0.19273070921237306
-0.8,0.17962521635420853
-0.8,0.16645978322427352
-0.8,0.22133208072079294
-0.8,0.17722398631377073
-0.8,0.163766606024729
-0.8,0.14335173548035327
-0.8,0.16803077494065113
-0.8,0.19419292791405995
-0.8,0.21532541226100216
-0.8,0.21089610629018912
-0.8,0.17422703148411062
-0.8,0.2185270346050435
-0.8,0.21341761402550308
-0.8,0.17591964251038159
-0.8,0.13692084683858893
-0.8,0.20263567532312923
-0.8,0.22809201246893604
-0.8,0.1603553762748148
-0.8,0.18629832101251986
-0.8,0.10779769373707958
-0.8,0.13953160290818808
-0.8,0.19498698953376437
-0.8,0.1888557505826366
-0.8,0.28586000182836946
-0.8,0.182512189882483
-0.8,0.18262958830722206
-0.8,0.2255829285983382
-0.8,0.15506154092412516
-0.8,0.1904632599542197
-0.8,0.17459889816989596
-0.8,0.12985802377837993
-0.8,0.14628044848183663
-0.8,0.14800879412122334
-0.8,0.16535913489748452
-0.8,0.20708054066898474
-0.8,0.19677073514179674
-0.8,0.17110784712851693
-0.8,0.2375058169224624
-0.8,0.24719283942033504
-0.8,0.160278307178482
-0.8,0.22946369734165248
-0.8,0.21187554139779546
-0.8,0.20044887821047397
-0.8,0.16126475829756817
-0.8,0.2132213025912484
-0.8,0.21975873215529607
-0.8,0.23562701514625808
-0.8,0.13346267422726754
-0.8,0.2327175167386199
-0.8,0.13947110387216557
-0.8,0.29286058470945825
-0.8,0.28305318395610773
-0.8,0.2888542470556118
-0.8,0.25980634150081183
-0.8,0.204437404962232
-0.8,0.03551474446082797
-0.8,0.21845078513979324
-0.8,0.14319300112040648
-0.8,0.2524900090786757
-0.8,0.2054261379474361
-0.8,0.13733612185638142
-0.8,0.12770280596045233
-0.8,0.18115484173775087
-0.8,0.18321995999933663
-0.8,0.26741223702970707
-0.8,0.1955670191656706
-0.8,0.16488550739855415
-0.8,0.22046573977687195
-0.8,0.20420638411565448
-0.8,0.17070586044805539
-0.8,0.2449708243683025
-0.8,0.2073985429035759
-0.8,0.21494146876946676
-0.8,0.16223015372482202
-0.8,0.21027100646169158
-0.8,0.1888761891273547
-0.8,0.20070048662213152
-0.8,0.19403793793503843
-0.8,0.3288728672689796
-0.8,0.24526735572031486
-0.8,0.20808330966542699
-0.8,0.2361277709476377
-0.8,0.2165928474066469
-0.8,0.24590417717784635
-0.8,0.3227225106385882
-0.8,0.18501864296901302
-0.8,0.21004613730359384
-0.8,0.12212582032962206
-0.8,0.19302740009898944
-0.8,0.2282371398600482
-0.8,0.12933347866488334
-0.8,0.1406223533192486
-0.8,0.2382021340463503
-0.8,0.20262341738557615
-0.8,0.12098037215286475
-0.8,0.21854260354726573
-0.8,0.1180157593613407
1.0,0.01039884932358886
1.0,-0.0018171578903964831
1.0,-0.024298915212514417
1.0,-0.03015928418748148
1.0,0.0002923562547753443
1.0,0.05340650194977695
1.0,0.025899322139356442
1.0,-0.06727567567725094
1.0,-0.035532780163336594
1.0,0.01907115813364989
1.0,0.02465359117098541
1.0,0.05781921094207939
1.0,-0.05634759145090845
1.0,-0.01642126893887083
1.0,0.004589863326301337
1.0,-0.04365980603136291
1.0,-0.02203678353583974
1.0,-0.041444407049585505
1.0,-0.004149111846424235
1.0,9.750851666500996e-05
1.0,-0.08811086929029173
1.0,0.04736623110542668
1.0,0.0003556263926823883
1.0,-0.06754580464464938
1.0,-0.05286226847814793
1.0,-0.0999275743518228
1.0,0.030916907959282994
1.0,-0.02728205627894655
1.0,0.06176662845740134
1.0,0.004398142569620703
1.0,0.03634948809299149
1.0,0.04401591265568329
1.0,-0.0367367508259686
1.0,-0.022911885796451804
1.0,-0.03671313544486729
1.0,-0.06301911966850447
1.0,-0.04153779246344986
1.0,0.004324697955192007
1.0,0.05715712320819367
1.0,-0.05858231747093556
1.0,-0.02308217516475838
1.0,-0.0148904706691726
1.0,0.0005935457565413623
1.0,-0.06917117526039318
1.0,0.0453674745991347
1.0,0.023632444834178635
1.0,-0.016390351730165738
1.0,0.08590089757608302
1.0,-0.03314216810836406
1.0,0.011009805974668259
1.0,0.023571431176950108
1.0,0.004025785673417888
