gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,local_assortativity,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.2,44.0,96.0,0.0,0.25074681180651603,11.0,9.0,0.5629071626623543,0.4072922883328446,0.3330833689026379,4.0,1.0,3.0,4.0
0.2,44.0,97.0,0.0,0.8275932822735192,0.0,5.0,1.7388310246572743e-17,0.33375729328207543,,0.0,4.0,0.0,1.0
0.2,44.0,98.0,1.0,0.06495820464580182,2.0,5.0,0.06512616209062616,0.2630893901001736,0.667584697138747,0.0,1.0,0.0,2.0
0.2,44.0,99.0,1.0,0.5768891167963557,11.0,8.0,0.5551905755773192,0.39712705979711715,-0.11487595742598924,1.0,0.0,2.0,0.0
0.2,44.0,100.0,0.0,0.9989272842637545,10.0,4.0,0.3990360008999024,0.1501357508310334,0.04356074405689079,3.0,0.0,3.0,0.0
0.2,44.0,101.0,0.0,0.7604763124055708,4.0,5.0,0.15604223963347158,0.34074824525308334,0.12151968906179957,0.0,0.0,2.0,3.0
0.2,44.0,102.0,1.0,0.557681837769602,10.0,10.0,0.4961000630343067,0.5507811773853708,-0.04860808551234503,1.0,0.0,1.0,2.0
0.2,44.0,103.0,0.0,0.19473003107175413,7.0,10.0,0.3614502444103802,0.5408645183781664,0.5406646473793129,2.0,4.0,0.0,1.0
0.2,44.0,104.0,0.0,0.8722586130911008,9.0,5.0,0.4974482788859488,0.3007417608140745,0.3191148492241163,3.0,0.0,1.0,0.0
0.2,44.0,105.0,0.0,0.2623701996807928,6.0,9.0,0.30137653115011587,0.4765618209764368,0.4913806859296782,2.0,2.0,1.0,4.0
0.2,44.0,106.0,1.0,0.06215710029384125,4.0,5.0,0.2706527409488078,0.3560013008563696,0.563329168327365,4.0,1.0,0.0,4.0
0.2,44.0,107.0,1.0,0.2897376445888731,2.0,12.0,0.09091391018199306,0.5859074841475589,0.5451800817221082,1.0,4.0,0.0,7.0
0.2,44.0,108.0,0.0,0.4486302605646153,1.0,2.0,0.036258067697608205,0.07057620246705963,0.7816634413666542,1.0,0.0,0.0,2.0
0.2,44.0,109.0,1.0,0.213456361320145,1.0,9.0,0.04884595273191388,0.5317202309462516,0.6688766081050377,0.0,2.0,0.0,6.0
0.2,44.0,110.0,0.0,0.05262834936799743,7.0,7.0,0.33788711063001026,0.33256100886363704,0.4826827655426734,4.0,2.0,1.0,3.0
0.2,44.0,111.0,1.0,0.11089452519278953,5.0,9.0,0.1611640026177663,0.4837335834514711,0.6265942965618138,2.0,1.0,0.0,5.0
